distribution,dataset_size,method,repeat,epsilon,PE_max,seed
d4,6000,CLiP-tuned,5,9.8,4.13,42
d4,6000,CLiP-tuned,6,6.7,6.54,43
d4,6000,CLiP-tuned,7,9.8,5.82,44
d4,6000,CLiP-tuned,8,4.8,4.01,45
d4,6000,CLiP-tuned,9,7.9,7.19,46
d4,7000,Apple,0,10.0,4.06,42
d4,7000,Apple,1,10.0,6.08,43
d4,7000,Apple,2,10.0,10.42,44
d4,7000,Apple,3,10.0,5.51,45
d4,7000,Apple,4,10.0,1.54,46
d4,7000,Apple,5,10.0,6.96,42
d4,7000,Apple,6,10.0,4.63,43
d4,7000,Apple,7,10.0,4.63,44
d4,7000,Apple,8,10.0,6.96,45
d4,7000,Apple,9,10.0,1.16,46
d4,7000,CLiP-tuned,0,9.6,4.76,42
d4,7000,CLiP-tuned,1,3.8,4.65,43
d4,7000,CLiP-tuned,2,6.1,6.44,44
d4,7000,CLiP-tuned,3,10.0,5.51,45
d4,7000,CLiP-tuned,4,10.0,5.51,46
d4,7000,CLiP-tuned,5,7.5,6.19,42
d4,7000,CLiP-tuned,6,7.4,5.63,43
d4,7000,CLiP-tuned,7,9.4,7.12,44
d4,7000,CLiP-tuned,8,9.8,4.33,45
d4,7000,CLiP-tuned,9,7.6,5.45,46
